pr,65,70,75,80,85,90
5,-18.0,-19.0,-20.0,-20.1,-22.0,-26.3
10,-12.5,-14.0,-14.7,-17.0,-18.0,-20.0
15,-9.0,-10.0,-11.0,-13.0,-14.0,-16.9
20,-6.0,-7.0,-8.0,-11.0,-12.0,-14.0
25,-3.0,-4.0,-5.0,-8.5,-10.0,-12.0
30,-1.0,-2.0,-2.0,-6.0,-9.0,-8.8
35,0.0,0.0,0.0,-4.0,-7.0,-7.0
40,0.0,0.0,0.0,-2.0,-5.0,-4.4
45,1.0,0.0,0.0,0.0,-3.0,-1.0
50,2.0,1.0,0.0,0.0,-1.0,0.0
55,3.0,2.0,1.0,0.0,0.0,0.0
60,4.0,4.0,3.0,1.0,0.0,0.0
65,5.0,5.0,4.0,2.0,1.0,1.0
70,6.4,7.0,5.0,3.0,2.0,1.0
75,8.0,9.0,7.0,5.0,3.0,2.0
80,10.0,10.8,10.0,7.0,5.0,5.0
85,13.0,13.0,12.0,10.0,8.0,7.0
90,16.0,16.0,15.0,12.0,11.6,9.6
95,20.2,21.0,19.0,17.1,15.0,13.8
